date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:56	257/257	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2019%20Mar%202014%2006:21:56%20GMT	http://themes.startbootstrap.com/flex-admin-v1.2	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2	(from )
13:21:57	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Mar%202014%2006:21:57%20GMT	http://themes.startbootstrap.com/robots.txt		(from )
13:21:57	86142/86142	---M-Z	200	added ('OK')	text/html	etag:%223538071-1507e-4f14b2ea13280%22	http://themes.startbootstrap.com/flex-admin-v1.2/	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/index.html	(from )
13:21:57	269/269	---M--	200	added ('OK')	text/css	etag:%2235380d5-10d-4efd1f97154c0%22	http://themes.startbootstrap.com/flex-admin-v1.2/css/plugins/pace/pace.css	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/css/plugins/pace/pace.css	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
13:21:58	10939/10939	---M--	200	added ('OK')	application/javascript	etag:%22353813e-2abb-4efd1fa09eb40%22	http://themes.startbootstrap.com/flex-admin-v1.2/js/plugins/pace/pace.js	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/js/plugins/pace/pace.js	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
13:22:00	17780/17780	---M--	200	added ('OK')	text/css	etag:%2235380dc-4574-4efd1f9809700%22	http://themes.startbootstrap.com/flex-admin-v1.2/icons/font-awesome/css/font-awesome.min.css	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/icons/font-awesome/css/font-awesome.min.css	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
13:22:01	3086/3086	---M--	200	added ('OK')	text/css	etag:%2235380d1-c0e-4efd1f97154c0%22	http://themes.startbootstrap.com/flex-admin-v1.2/css/plugins/messenger/messenger.css	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/css/plugins/messenger/messenger.css	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
13:22:02	102402/102402	---M--	200	added ('OK')	text/css	etag:%2235382be-19002-4efd1fa37b200%22	http://themes.startbootstrap.com/flex-admin-v1.2/css/plugins/bootstrap/css/bootstrap.min.css	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/css/plugins/bootstrap/css/bootstrap.min.css	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
13:22:03	13273/13273	---M--	200	added ('OK')	text/css	etag:%2235380cf-33d9-4efd1f97154c0%22	http://themes.startbootstrap.com/flex-admin-v1.2/css/plugins/messenger/messenger-theme-flat.css	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/css/plugins/messenger/messenger-theme-flat.css	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
13:22:03	4836/4836	---M--	200	added ('OK')	text/css	etag:%2235380be-12e4-4efd1f9621280%22	http://themes.startbootstrap.com/flex-admin-v1.2/css/plugins/daterangepicker/daterangepicker-bs3.css	C:/Users/FukakaFu/Desktop/Page/flex-admin-v1.2/themes.startbootstrap.com/flex-admin-v1.2/css/plugins/daterangepicker/daterangepicker-bs3.css	(from http://themes.startbootstrap.com/flex-admin-v1.2/)
